COD_REG;COD_ISTAT;PRO_COM;SEZ2011;SEZ;COD_LOC;TIPO_LOC
15.0;15065037.0;65037.0;650370000272;272.0;20009.0;2.0
15.0;15065067.0;65067.0;650670000015;15.0;10005.0;1.0
15.0;15065079.0;65079.0;650790000040;40.0;10001.0;1.0
15.0;15065067.0;65067.0;650670000028;28.0;10005.0;1.0
15.0;15065067.0;65067.0;650670000074;74.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000105;105.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000133;133.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000031;31.0;10001.0;1.0
15.0;15063012.0;63012.0;630120000013;13.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000102;102.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000023;23.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000094;94.0;10001.0;1.0
15.0;15063041.0;63041.0;630410000050;50.0;20004.0;2.0
15.0;15063063.0;63063.0;630630000270;270.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000103;103.0;10001.0;1.0
15.0;15063041.0;63041.0;630410000027;27.0;10002.0;1.0
15.0;15063041.0;63041.0;630410000082;82.0;10002.0;1.0
15.0;15063041.0;63041.0;630410000030;30.0;10002.0;1.0
15.0;15063041.0;63041.0;630410000023;23.0;10002.0;1.0
15.0;15063063.0;63063.0;630630000052;52.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000110;110.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000053;53.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000111;111.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000140;140.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000226;226.0;10001.0;1.0
15.0;15063012.0;63012.0;630120000015;15.0;10001.0;1.0
15.0;15063041.0;63041.0;630410000024;24.0;10002.0;1.0
15.0;15063041.0;63041.0;630410000021;21.0;10002.0;1.0
15.0;15063041.0;63041.0;630410000013;13.0;10002.0;1.0
15.0;15063041.0;63041.0;630410000002;2.0;10002.0;1.0
15.0;15063041.0;63041.0;630410000003;3.0;10002.0;1.0
15.0;15063063.0;63063.0;630630000062;62.0;10001.0;1.0
15.0;15063048.0;63048.0;630480000047;47.0;40006.0;4.0
15.0;15063063.0;63063.0;630630000128;128.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000282;282.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000092;92.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000007;7.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000035;35.0;10001.0;1.0
15.0;15063048.0;63048.0;630480000045;45.0;40004.0;4.0
15.0;15063041.0;63041.0;630410000018;18.0;10002.0;1.0
15.0;15063012.0;63012.0;630120000002;2.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000118;118.0;10001.0;1.0
15.0;15063041.0;63041.0;630410000029;29.0;10002.0;1.0
15.0;15063041.0;63041.0;630410000045;45.0;10002.0;1.0
15.0;15063063.0;63063.0;630630000278;278.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000112;112.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000113;113.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000117;117.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000132;132.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000297;297.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000305;305.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000030;30.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000268;268.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000051;51.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000008;8.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000017;17.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000003;3.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000006;6.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000045;45.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000049;49.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000309;309.0;40012.0;4.0
15.0;15063063.0;63063.0;630630000009;9.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000080;80.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000022;22.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000055;55.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000046;46.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000061;61.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000020;20.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000019;19.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000267;267.0;10001.0;1.0
15.0;15063063.0;63063.0;630630000106;106.0;10001.0;1.0
15.0;15065079.0;65079.0;650790000042;42.0;10001.0;1.0
15.0;15065079.0;65079.0;650790000025;25.0;10001.0;1.0
15.0;15065079.0;65079.0;650790000041;41.0;10001.0;1.0
15.0;15065067.0;65067.0;650670000049;49.0;26602.0;2.0
15.0;15065067.0;65067.0;650670000034;34.0;10008.0;1.0
15.0;15065108.0;65108.0;651080000001;1.0;10002.0;1.0
15.0;15065034.0;65034.0;650340000017;17.0;10001.0;1.0
15.0;15065067.0;65067.0;650670000013;13.0;10005.0;1.0
15.0;15065034.0;65034.0;650340000022;22.0;30001.0;3.0
15.0;15065067.0;65067.0;650670000001;1.0;10005.0;1.0
15.0;15065052.0;65052.0;650520000037;37.0;20007.0;2.0
15.0;15065013.0;65013.0;650130000006;6.0;10003.0;1.0
15.0;15065067.0;65067.0;650670000031;31.0;10008.0;1.0
15.0;15065067.0;65067.0;650670000036;36.0;10008.0;1.0
15.0;15064062.0;64062.0;640620000007;7.0;10003.0;1.0
15.0;15065034.0;65034.0;650340000025;25.0;20001.0;2.0
15.0;15065079.0;65079.0;650790000050;50.0;26704.0;2.0
15.0;15065067.0;65067.0;650670000059;59.0;10008.0;1.0
15.0;15065108.0;65108.0;651080000002;2.0;10002.0;1.0
15.0;15065013.0;65013.0;650130000022;22.0;10003.0;1.0
15.0;15065079.0;65079.0;650790000023;23.0;10001.0;1.0
15.0;15064061.0;64061.0;640610000020;20.0;20005.0;2.0
15.0;15065079.0;65079.0;650790000033;33.0;26602.0;2.0
15.0;15065013.0;65013.0;650130000003;3.0;10003.0;1.0
15.0;15065079.0;65079.0;650790000002;2.0;10001.0;1.0
15.0;15065079.0;65079.0;650790000026;26.0;10001.0;1.0
15.0;15065052.0;65052.0;650520000011;11.0;10004.0;1.0
15.0;15065108.0;65108.0;651080000003;3.0;10002.0;1.0
15.0;15065142.0;65142.0;651420000006;6.0;10001.0;1.0
15.0;15065013.0;65013.0;650130000004;4.0;10003.0;1.0
15.0;15065079.0;65079.0;650790000053;53.0;42011.0;4.0
15.0;15064061.0;64061.0;640610000007;7.0;10003.0;1.0
15.0;15065079.0;65079.0;650790000028;28.0;10001.0;1.0
15.0;15065108.0;65108.0;651080000013;13.0;10002.0;1.0
15.0;15065052.0;65052.0;650520000025;25.0;10009.0;1.0
15.0;15065037.0;65037.0;650370000275;275.0;20022.0;2.0
15.0;15065079.0;65079.0;650790000052;52.0;40003.0;4.0
15.0;15065037.0;65037.0;650370000276;276.0;20023.0;2.0
15.0;15065034.0;65034.0;650340000003;3.0;10001.0;1.0
15.0;15065079.0;65079.0;650790000015;15.0;10001.0;1.0
15.0;15065067.0;65067.0;650670000047;47.0;10006.0;1.0
15.0;15065079.0;65079.0;650790000016;16.0;10001.0;1.0
15.0;15065142.0;65142.0;651420000010;10.0;10001.0;1.0
15.0;15065067.0;65067.0;650670000048;48.0;20003.0;2.0
15.0;15065079.0;65079.0;650790000019;19.0;10001.0;1.0
15.0;15065079.0;65079.0;650790000013;13.0;10001.0;1.0
15.0;15065067.0;65067.0;650670000061;61.0;40001.0;4.0
15.0;15065067.0;65067.0;650670000056;56.0;30001.0;3.0
15.0;15065034.0;65034.0;650340000001;1.0;10001.0;1.0
15.0;15065090.0;65090.0;650900000001;1.0;10004.0;1.0
15.0;15065034.0;65034.0;650340000028;28.0;10001.0;1.0
15.0;15064062.0;64062.0;640620000012;12.0;10003.0;1.0
15.0;15065013.0;65013.0;650130000001;1.0;10003.0;1.0
15.0;15065142.0;65142.0;651420000002;2.0;10001.0;1.0
15.0;15065067.0;65067.0;650670000033;33.0;10008.0;1.0
15.0;15064061.0;64061.0;640610000002;2.0;10003.0;1.0
15.0;15065034.0;65034.0;650340000012;12.0;10002.0;1.0
15.0;15065052.0;65052.0;650520000035;35.0;10002.0;1.0
15.0;15064061.0;64061.0;640610000036;36.0;40001.0;4.0
15.0;15065013.0;65013.0;650130000005;5.0;10003.0;1.0
