ora;Inverno;Media Stagione;Estate
0;3,60%;3,79%;4,19%
1;2,75%;2,96%;3,39%
2;2,28%;2,48%;2,88%
3;2,07%;2,28%;2,65%
4;1,98%;2,19%;2,52%
5;2,04%;2,21%;2,47%
6;2,41%;2,58%;2,70%
7;3,63%;3,67%;3,32%
8;3,84%;3,92%;3,70%
9;3,94%;3,92%;3,81%
10;3,98%;3,93%;3,91%
11;4,00%;3,93%;3,94%
12;4,29%;4,25%;4,29%
13;4,50%;4,50%;4,60%
14;4,54%;4,56%;4,68%
15;4,53%;4,52%;4,60%
16;4,42%;4,31%;4,39%
17;4,80%;4,43%;4,35%
18;5,42%;4,87%;4,54%
19;6,50%;6,05%;5,36%
20;6,83%;6,72%;6,04%
21;6,71%;6,81%;6,42%
22;5,93%;6,09%;6,03%
23;5,00%;5,01%;5,21%
