zona_climatica;periodo;Superficie Utile Riscaldata;Volume Lordo Riscaldato;Superficie Disperdente;EPgl_nren;EPgl_ren;CO2
A;kE8E9;<50;50-100;50-100;142.14;10.29;29.96
A;kE8E9;<50;50-100;100-200;131.14;4.91;26.96
A;kE8E9;<50;100-200;<50;58.48;16.26;13.79
A;kE8E9;<50;100-200;50-100;115.19;13.33;24.59
A;kE8E9;<50;100-200;100-200;149.89;7.05;30.74
A;kE8E9;<50;100-200;200-500;155.4;6.38;30.46
A;kE8E9;<50;200-500;<50;95.06;15.26;21.28
A;kE8E9;<50;200-500;50-100;121.3;16.44;26.71
A;kE8E9;<50;200-500;100-200;123.64;10.78;26.33
A;kE8E9;<50;200-500;200-500;180.49;9.01;36.34
A;kE8E9;50-100;100-200;100-200;109.07;9.09;23.16
A;kE8E9;50-100;100-200;200-500;168.43;0.0;33.69
A;kE8E9;50-100;200-500;50-100;69.51;12.61;15.48
A;kE8E9;50-100;200-500;100-200;114.89;8.81;24.03
A;kE8E9;50-100;200-500;200-500;174.27;16.7;35.6
A;kE8E9;50-100;500-1000;200-500;110.28;6.44;22.19
A;kE8E9;50-100;1000-5000;200-500;144.0;7.11;29.86
A;kE8E9;50-100;1000-5000;500-1000;297.96;7.3;60.68
A;kE8E9;100-200;200-500;100-200;77.98;4.65;16.29
A;kE8E9;100-200;200-500;200-500;127.55;7.18;26.33
A;kE8E9;100-200;500-1000;100-200;40.69;17.23;9.6
A;kE8E9;100-200;500-1000;200-500;106.4;14.08;22.23
A;kE8E9;100-200;500-1000;500-1000;131.16;7.44;26.26
A;kE8E9;100-200;1000-5000;500-1000;201.49;7.92;41.48
A;kE8E9;200-500;500-1000;200-500;49.06;0.0;9.81
A;kE8E9;200-500;500-1000;500-1000;166.05;7.52;34.33
A;kE10E11;<50;50-100;<50;64.59;12.55;14.79
A;kE10E11;<50;50-100;50-100;159.72;2.04;32.25
A;kE10E11;<50;50-100;100-200;311.86;12.66;64.26
A;kE10E11;<50;100-200;50-100;113.27;19.84;24.39
A;kE10E11;<50;100-200;100-200;168.52;9.21;34.79
A;kE10E11;<50;100-200;200-500;301.55;8.98;61.65
A;kE10E11;<50;200-500;<50;54.86;0.0;10.97
A;kE10E11;<50;200-500;50-100;65.88;2.96;13.42
A;kE10E11;<50;200-500;100-200;129.68;10.05;26.93
A;kE10E11;<50;200-500;200-500;239.65;25.39;50.35
A;kE10E11;50-100;100-200;50-100;78.02;0.0;15.6
A;kE10E11;50-100;100-200;100-200;108.23;12.16;23.46
A;kE10E11;50-100;100-200;200-500;183.8;6.42;37.71
A;kE10E11;50-100;200-500;<50;100.02;6.87;20.0
A;kE10E11;50-100;200-500;50-100;60.81;7.89;13.04
A;kE10E11;50-100;200-500;100-200;101.51;12.39;21.7
A;kE10E11;50-100;200-500;200-500;152.71;15.5;31.76
A;kE10E11;100-200;200-500;50-100;56.64;10.85;12.63
A;kE10E11;100-200;200-500;100-200;75.41;10.01;16.39
A;kE10E11;100-200;200-500;200-500;114.22;15.27;23.99
A;kE10E11;100-200;200-500;500-1000;150.33;2.95;30.05
A;kE10E11;100-200;200-500;1000-5000;179.88;6.87;37.0
A;kE10E11;100-200;500-1000;100-200;72.79;12.37;14.83
A;kE10E11;100-200;500-1000;200-500;131.34;10.09;26.96
A;kE10E11;100-200;500-1000;500-1000;180.62;16.6;38.1
A;kE10E11;100-200;1000-5000;200-500;82.35;6.33;17.41
A;kE10E11;100-200;1000-5000;500-1000;169.33;4.44;34.52
A;kE10E11;200-500;500-1000;500-1000;65.75;65.35;15.34
A;kE10E11;200-500;1000-5000;500-1000;104.21;6.34;21.79
A;kE12E13;<50;50-100;50-100;202.46;70.88;48.6
A;kE12E13;<50;50-100;100-200;184.81;13.96;38.07
A;kE12E13;<50;100-200;<50;113.95;14.77;24.36
A;kE12E13;<50;100-200;50-100;135.26;15.8;24.07
