zona_climatica;Superficie Utile Riscaldata;Volume Lordo Riscaldato;EPgl_nren;EPgl_ren;CO2
A;<50;<50;0.0;0.0;0.0
A;<50;50-100;172.8;61.33;37.88
A;<50;100-200;141.19;36.19;30.02
A;<50;200-500;156.35;24.81;33.28
A;<50;500-1000;125.47;9.42;26.5
A;<50;1000-5000;0.0;0.0;0.0
A;<50;5000-10000;0.0;0.0;0.0
A;<50;>10000;0.0;0.0;0.0
A;50-100;<50;0.0;0.0;0.0
A;50-100;50-100;0.0;0.0;0.0
A;50-100;100-200;115.56;19.7;24.63
A;50-100;200-500;117.17;16.99;24.68
A;50-100;500-1000;112.86;35.14;23.79
A;50-100;1000-5000;211.03;4.8;42.92
A;50-100;5000-10000;0.0;0.0;0.0
A;50-100;>10000;0.0;0.0;0.0
A;100-200;<50;0.0;0.0;0.0
A;100-200;50-100;0.0;0.0;0.0
A;100-200;100-200;0.0;0.0;0.0
A;100-200;200-500;89.89;14.96;19.15
A;100-200;500-1000;118.2;19.67;24.36
A;100-200;1000-5000;138.02;6.32;28.38
A;100-200;5000-10000;0.0;0.0;0.0
A;100-200;>10000;0.0;0.0;0.0
A;200-500;<50;0.0;0.0;0.0
A;200-500;50-100;0.0;0.0;0.0
A;200-500;100-200;0.0;0.0;0.0
A;200-500;200-500;37.88;5.43;8.38
A;200-500;500-1000;81.85;19.93;17.46
A;200-500;1000-5000;81.66;13.91;16.86
A;200-500;5000-10000;0.0;0.0;0.0
A;200-500;>10000;0.0;0.0;0.0
A;500-1000;<50;0.0;0.0;0.0
A;500-1000;50-100;0.0;0.0;0.0
A;500-1000;100-200;0.0;0.0;0.0
A;500-1000;200-500;0.0;0.0;0.0
A;500-1000;500-1000;0.0;0.0;0.0
A;500-1000;1000-5000;0.0;0.0;0.0
A;500-1000;5000-10000;0.0;0.0;0.0
A;500-1000;>10000;0.0;0.0;0.0
A;1000-5000;<50;0.0;0.0;0.0
A;1000-5000;50-100;0.0;0.0;0.0
A;1000-5000;100-200;0.0;0.0;0.0
A;1000-5000;200-500;0.0;0.0;0.0
A;1000-5000;500-1000;0.0;0.0;0.0
A;1000-5000;1000-5000;0.0;0.0;0.0
A;1000-5000;5000-10000;0.0;0.0;0.0
A;1000-5000;>10000;0.0;0.0;0.0
A;>5000;<50;0.0;0.0;0.0
A;>5000;50-100;0.0;0.0;0.0
A;>5000;100-200;0.0;0.0;0.0
A;>5000;200-500;0.0;0.0;0.0
A;>5000;500-1000;0.0;0.0;0.0
A;>5000;1000-5000;0.0;0.0;0.0
A;>5000;5000-10000;0.0;0.0;0.0
A;>5000;>10000;0.0;0.0;0.0
B;<50;<50;0.0;0.0;0.0
B;<50;50-100;208.55;20.71;43.14
B;<50;100-200;174.24;20.41;35.92
B;<50;200-500;194.03;23.78;39.52
B;<50;500-1000;325.96;22.57;66.52
B;<50;1000-5000;280.39;28.25;59.78
B;<50;5000-10000;0.0;0.0;0.0
B;<50;>10000;0.0;0.0;0.0
B;50-100;<50;0.0;0.0;0.0
B;50-100;50-100;144.93;15.43;30.07
B;50-100;100-200;146.03;18.12;30.71
B;50-100;200-500;146.69;17.3;30.1
B;50-100;500-1000;198.32;22.23;40.67
B;50-100;1000-5000;325.24;14.36;66.83
B;50-100;5000-10000;0.0;0.0;0.0
B;50-100;>10000;0.0;0.0;0.0
B;100-200;<50;0.0;0.0;0.0
B;100-200;50-100;116.45;14.38;24.45
B;100-200;100-200;112.27;11.14;23.59
B;100-200;200-500;120.21;14.38;24.74
B;100-200;500-1000;129.4;17.71;26.3
B;100-200;1000-5000;187.48;21.2;38.74
B;100-200;5000-10000;0.0;0.0;0.0
B;100-200;>10000;0.0;0.0;0.0
B;200-500;<50;0.0;0.0;0.0
B;200-500;50-100;55.29;0.59;11.15
B;200-500;100-200;80.56;7.73;17.56
B;200-500;200-500;101.39;9.09;21.17
B;200-500;500-1000;108.84;18.35;22.22
B;200-500;1000-5000;115.58;19.93;23.28
B;200-500;5000-10000;0.0;0.0;0.0
B;200-500;>10000;0.0;0.0;0.0
B;500-1000;<50;0.0;0.0;0.0
B;500-1000;50-100;0.0;0.0;0.0
B;500-1000;100-200;0.0;0.0;0.0
B;500-1000;200-500;39.18;5.05;8.24
B;500-1000;500-1000;67.37;0.4;13.53
B;500-1000;1000-5000;82.63;13.49;16.48
B;500-1000;5000-10000;0.0;0.0;0.0
B;500-1000;>10000;0.0;0.0;0.0
B;1000-5000;<50;0.0;0.0;0.0
B;1000-5000;50-100;0.0;0.0;0.0
B;1000-5000;100-200;0.0;0.0;0.0
B;1000-5000;200-500;0.0;0.0;0.0
B;1000-5000;500-1000;0.0;0.0;0.0
B;1000-5000;1000-5000;0.0;0.0;0.0
B;1000-5000;5000-10000;0.0;0.0;0.0
B;1000-5000;>10000;0.0;0.0;0.0
B;>5000;<50;0.0;0.0;0.0
B;>5000;50-100;0.0;0.0;0.0
B;>5000;100-200;0.0;0.0;0.0
B;>5000;200-500;0.0;0.0;0.0
B;>5000;500-1000;0.0;0.0;0.0
B;>5000;1000-5000;0.0;0.0;0.0
B;>5000;5000-10000;0.0;0.0;0.0
B;>5000;>10000;0.0;0.0;0.0
C;<50;<50;0.0;0.0;0.0
C;<50;50-100;226.52;19.8;45.59
C;<50;100-200;180.87;19.7;36.62
C;<50;200-500;219.61;20.72;43.97
C;<50;500-1000;321.96;15.54;65.45
C;<50;1000-5000;173.44;36.62;36.68
C;<50;5000-10000;0.0;0.0;0.0
C;<50;>10000;0.0;0.0;0.0
C;50-100;<50;0.0;0.0;0.0
C;50-100;50-100;175.4;13.44;35.75
C;50-100;100-200;154.07;14.88;31.32
C;50-100;200-500;160.28;15.06;32.22
C;50-100;500-1000;230.77;19.02;46.57
