zona_climatica;periodo;SURIS;EPgl_nren;EPgl_ren;CO2
A;kE8E9;<50;137.16;9.72;28.47
A;kE8E9;50-100;131.98;11.54;27.39
A;kE8E9;100-200;111.87;10.17;23.21
A;kE8E9;200-500;107.56;3.76;22.07
A;kE8E9;500-1000;0.0;0.0;0.0
A;kE8E9;1000-5000;0.0;0.0;0.0
A;kE8E9;>5000;0.0;0.0;0.0
A;kE10E11;<50;164.93;12.44;34.3
A;kE10E11;50-100;123.86;13.31;26.01
A;kE10E11;100-200;106.58;12.03;22.43
A;kE10E11;200-500;91.39;26.01;19.64
A;kE10E11;500-1000;0.0;0.0;0.0
A;kE10E11;1000-5000;0.0;0.0;0.0
A;kE10E11;>5000;0.0;0.0;0.0
A;kE12E13;<50;156.16;31.58;32.78
A;kE12E13;50-100;117.14;19.01;24.82
A;kE12E13;100-200;103.47;18.21;21.59
A;kE12E13;200-500;78.57;16.58;16.53
A;kE12E13;500-1000;0.0;0.0;0.0
A;kE12E13;1000-5000;0.0;0.0;0.0
A;kE12E13;>5000;0.0;0.0;0.0
A;kE14E15;<50;147.15;74.55;33.31
A;kE14E15;50-100;106.49;16.74;22.38
A;kE14E15;100-200;101.5;20.45;21.48
A;kE14E15;200-500;141.2;7.06;29.11
A;kE14E15;500-1000;0.0;0.0;0.0
A;kE14E15;1000-5000;0.0;0.0;0.0
A;kE14E15;>5000;0.0;0.0;0.0
A;kE16;<50;97.14;83.46;21.39
A;kE16;50-100;79.49;33.1;16.97
A;kE16;100-200;70.84;12.54;14.94
A;kE16;200-500;31.05;23.1;7.05
A;kE16;500-1000;0.0;0.0;0.0
A;kE16;1000-5000;0.0;0.0;0.0
A;kE16;>5000;0.0;0.0;0.0
A;k2015;<50;131.43;51.82;28.93
A;k2015;50-100;86.4;52.52;19.85
A;k2015;100-200;68.27;33.02;15.16
A;k2015;200-500;38.77;24.88;8.75
A;k2015;500-1000;0.0;0.0;0.0
A;k2015;1000-5000;0.0;0.0;0.0
A;k2015;>5000;0.0;0.0;0.0
B;kE8E9;<50;200.32;19.64;40.9
B;kE8E9;50-100;170.03;17.57;34.85
B;kE8E9;100-200;148.01;16.69;30.18
B;kE8E9;200-500;126.51;17.67;25.66
B;kE8E9;500-1000;75.7;8.04;15.83
B;kE8E9;1000-5000;0.0;0.0;0.0
B;kE8E9;>5000;0.0;0.0;0.0
B;kE10E11;<50;185.16;19.65;37.96
B;kE10E11;50-100;150.93;16.28;31.04
B;kE10E11;100-200;127.57;14.5;26.12
B;kE10E11;200-500;117.55;16.1;23.89
B;kE10E11;500-1000;80.56;12.42;17.18
B;kE10E11;1000-5000;0.0;0.0;0.0
