zona_climatica;periodo;Superficie Utile Riscaldata;Volume Lordo Riscaldato;Superficie Disperdente;EPgl_nren
A;kE8E9;<50;50-100;50-100;142.14
A;kE8E9;<50;50-100;100-200;131.14
A;kE8E9;<50;100-200;<50;58.48
A;kE8E9;<50;100-200;50-100;115.19
A;kE8E9;<50;100-200;100-200;152.09
A;kE8E9;<50;100-200;200-500;155.4
A;kE8E9;<50;200-500;<50;95.06
A;kE8E9;<50;200-500;50-100;121.3
A;kE8E9;<50;200-500;100-200;123.64
A;kE8E9;<50;200-500;200-500;180.49
A;kE8E9;50-100;100-200;100-200;109.07
A;kE8E9;50-100;100-200;200-500;168.43
A;kE8E9;50-100;200-500;50-100;69.51
A;kE8E9;50-100;200-500;100-200;116.1
A;kE8E9;50-100;200-500;200-500;174.27
A;kE8E9;50-100;500-1000;200-500;110.28
A;kE8E9;50-100;1000-5000;200-500;144.0
A;kE8E9;50-100;1000-5000;500-1000;297.96
A;kE8E9;100-200;200-500;100-200;77.98
A;kE8E9;100-200;200-500;200-500;127.55
A;kE8E9;100-200;500-1000;100-200;40.69
A;kE8E9;100-200;500-1000;200-500;106.4
A;kE8E9;100-200;500-1000;500-1000;131.16
A;kE8E9;100-200;1000-5000;500-1000;201.49
A;kE8E9;200-500;500-1000;200-500;49.06
A;kE8E9;200-500;500-1000;500-1000;166.05
A;kE10E11;<50;50-100;<50;64.59
A;kE10E11;<50;50-100;50-100;159.72
A;kE10E11;<50;50-100;100-200;311.86
A;kE10E11;<50;100-200;50-100;113.27
A;kE10E11;<50;100-200;100-200;168.52
A;kE10E11;<50;100-200;200-500;301.55
A;kE10E11;<50;200-500;<50;54.86
A;kE10E11;<50;200-500;50-100;65.88
A;kE10E11;<50;200-500;100-200;129.68
A;kE10E11;<50;200-500;200-500;239.65
A;kE10E11;50-100;100-200;50-100;78.02
A;kE10E11;50-100;100-200;100-200;108.23
A;kE10E11;50-100;100-200;200-500;183.8
A;kE10E11;50-100;200-500;<50;100.02
A;kE10E11;50-100;200-500;50-100;60.81
A;kE10E11;50-100;200-500;100-200;101.51
A;kE10E11;50-100;200-500;200-500;152.38
A;kE10E11;100-200;200-500;50-100;56.64
A;kE10E11;100-200;200-500;100-200;75.41
A;kE10E11;100-200;200-500;200-500;114.22
A;kE10E11;100-200;200-500;500-1000;150.33
A;kE10E11;100-200;200-500;1000-5000;179.88
A;kE10E11;100-200;500-1000;100-200;72.79
A;kE10E11;100-200;500-1000;200-500;131.34
A;kE10E11;100-200;500-1000;500-1000;180.62
A;kE10E11;100-200;1000-5000;200-500;82.35
A;kE10E11;100-200;1000-5000;500-1000;169.33
A;kE10E11;200-500;500-1000;500-1000;65.75
A;kE10E11;200-500;1000-5000;500-1000;104.21
A;kE12E13;<50;50-100;50-100;202.46
A;kE12E13;<50;50-100;100-200;184.81
A;kE12E13;<50;100-200;<50;113.95
A;kE12E13;<50;100-200;50-100;135.26
A;kE12E13;<50;100-200;100-200;180.22
A;kE12E13;<50;100-200;200-500;139.56
A;kE12E13;<50;200-500;50-100;103.47
A;kE12E13;<50;200-500;100-200;99.88
A;kE12E13;<50;200-500;200-500;179.2
A;kE12E13;<50;500-1000;50-100;125.47
A;kE12E13;50-100;100-200;<50;72.8
A;kE12E13;50-100;100-200;100-200;107.93
A;kE12E13;50-100;100-200;200-500;222.44
A;kE12E13;50-100;200-500;50-100;69.15
A;kE12E13;50-100;200-500;100-200;105.71
A;kE12E13;50-100;200-500;200-500;130.02
A;kE12E13;50-100;200-500;1000-5000;288.85
A;kE12E13;100-200;200-500;<50;89.52
A;kE12E13;100-200;200-500;50-100;60.79
A;kE12E13;100-200;200-500;100-200;76.79
A;kE12E13;100-200;200-500;200-500;116.33
A;kE12E13;100-200;200-500;500-1000;167.78
A;kE12E13;100-200;500-1000;<50;122.03
A;kE12E13;100-200;500-1000;100-200;56.76
A;kE12E13;100-200;500-1000;200-500;102.05
A;kE12E13;100-200;500-1000;500-1000;152.95
A;kE12E13;100-200;1000-5000;200-500;93.05
A;kE12E13;100-200;1000-5000;500-1000;137.65
A;kE12E13;200-500;500-1000;<50;51.12
A;kE12E13;200-500;500-1000;200-500;82.21
A;kE12E13;200-500;500-1000;500-1000;78.91
A;kE12E13;200-500;1000-5000;50-100;64.48
A;kE12E13;200-500;1000-5000;500-1000;93.55
A;kE14E15;<50;50-100;<50;180.2
A;kE14E15;<50;50-100;50-100;165.2
A;kE14E15;<50;50-100;100-200;222.35
A;kE14E15;<50;100-200;<50;60.25
A;kE14E15;<50;100-200;50-100;93.83
A;kE14E15;<50;100-200;100-200;149.73
A;kE14E15;<50;100-200;200-500;193.51
A;kE14E15;<50;200-500;50-100;81.61
A;kE14E15;<50;200-500;100-200;513.63
A;kE14E15;50-100;100-200;100-200;140.44
A;kE14E15;50-100;200-500;50-100;65.92
A;kE14E15;50-100;200-500;100-200;81.18
A;kE14E15;50-100;200-500;200-500;118.78
A;kE14E15;50-100;1000-5000;200-500;191.12
A;kE14E15;100-200;200-500;50-100;65.66
A;kE14E15;100-200;200-500;100-200;59.35
A;kE14E15;100-200;200-500;200-500;113.62
A;kE14E15;100-200;500-1000;100-200;80.94
A;kE14E15;100-200;500-1000;200-500;112.37
A;kE14E15;100-200;500-1000;500-1000;119.23
A;kE14E15;100-200;500-1000;1000-5000;258.75
A;kE14E15;200-500;500-1000;200-500;159.8
A;kE14E15;200-500;500-1000;500-1000;190.94
A;kE14E15;200-500;1000-5000;500-1000;72.86
A;kE16;<50;100-200;50-100;124.66
A;kE16;<50;100-200;100-200;109.82
A;kE16;<50;100-200;200-500;33.23
A;kE16;<50;200-500;200-500;123.02
A;kE16;50-100;100-200;50-100;63.13
A;kE16;50-100;100-200;100-200;69.54
A;kE16;50-100;100-200;200-500;33.43
A;kE16;50-100;200-500;50-100;59.12
A;kE16;50-100;200-500;100-200;79.71
A;kE16;50-100;200-500;200-500;78.9
A;kE16;50-100;200-500;500-1000;187.22
A;kE16;50-100;500-1000;500-1000;115.44
A;kE16;100-200;200-500;50-100;107.78
A;kE16;100-200;200-500;100-200;52.5
A;kE16;100-200;200-500;200-500;64.94
A;kE16;100-200;200-500;1000-5000;131.04
A;kE16;100-200;500-1000;200-500;102.8
A;kE16;100-200;500-1000;500-1000;100.05
A;kE16;100-200;500-1000;1000-5000;148.67
A;kE16;200-500;200-500;100-200;37.88
A;kE16;200-500;500-1000;200-500;24.21
A;k2015;<50;100-200;50-100;146.28
A;k2015;<50;100-200;100-200;136.52
A;k2015;<50;100-200;200-500;45.39
A;k2015;50-100;100-200;100-200;125.43
A;k2015;50-100;200-500;50-100;177.8
A;k2015;50-100;200-500;100-200;109.07
A;k2015;50-100;200-500;200-500;57.5
A;k2015;100-200;200-500;100-200;87.28
A;k2015;100-200;200-500;200-500;59.0
A;k2015;100-200;500-1000;200-500;78.32
A;k2015;100-200;500-1000;500-1000;72.79
A;k2015;200-500;500-1000;500-1000;38.77
A;k2015;200-500;1000-5000;1000-5000;38.77
B;kE8E9;<50;50-100;<50;165.69
