Marca;Modello;Potenza (Wp);Efficienza (%);Dimensioni (mm);Tecnologia;Prezzo
Sonnenkraft;KPV 430Wp HCB;430;21,52;1748x1143x40;Categoria A;129,00
FuturaSun;FUxxxMV Silk Nova EU;430;22,02;1722x1134x30;Categoria A;125,00
Fly Solartech Solutions;FLY-108-M10T-xG;430;22,02; 1675x1020x1,4;Categoria A;n.a.
PEIMAR;SA505M;505;21,54;2067x1134x35;Categoria A;135,00
SOLYCO;R-TG 108n.3 EU30;425;21,80;1722x1134x30;Categoria A;n.a.
SoliTek;BlackStar B.108 - 420W;420;21,51;1722x1134x30.;Categoria A;142,00
TRIENERGIA;COE-430M10EF;430;22,02;n.a.;Categoria A;118,00
BISOL;BDO-430;430;22,00;n.a.;Categoria A;135,00
DAX Solar;DAX 108 P10;420;21,51;n.a.;Categoria A;n.a.
Sunerg Solar srl;XMHCTO430BW+H;430;22,02;1722x1134x30;Categoria A;119,00
3SUN;3SHBGH-C#;625;22,10;2172x1303x35;Categoria A;195,00
GruppoSTG;VE654PV;430;22,02;n.a.;Categoria A;n.a.
Solvis;SV108-430 E F HCM10;430;22,02;n.a.;Categoria A;n.a.
Solvis;SV108-430 E F GG22 HCM10;430;22,02;n.a.;Categoria A;n.a.
Sunerg Solar srl;XMHCTP480BW+H;480;22,18;n.a.;Categoria A;135,00
Sunerg Solar srl;XMHCTQ580+H;580;22,45;n.a.;Categoria A;159,00
Sonnenkraft;KPV 435Wp HC;435;22,00;n.a.;Categoria A;132,00
Sonnenkraft;KPV 440Wp HC;440;22,27;n.a.;Categoria A;135,00
TRIENERGIA;COE-425M10EF;425;21,76;n.a.;Categoria A;115,00
SoliTek;BlackStar B.108 - 435W;435;22,27;1722x1134x35;Categoria A;145,00
3SUN;3SHBGH-C#;620;21,90;2172x1303x35;Categoria A;189,00
3SUN;3SHBGH-C#;615;21,70;2172x1303x35;Categoria A;185,00
3SUN;3SHBGH-C#;610;21,60;n.a.;Categoria A;182,00
3SUN;3SHBGH-C#;630;22,30;n.a.;Categoria A;198,00
EURENER;ESM430-54HM10;430;22,01;n.a.;Categoria A;126,00
aleo;Leo-N L64S430;430;21,50;n.a.;Categoria A;148,00
DAX Solar;DAX 108 TC10;440;22,53;n.a.;Categoria A;n.a.
Viessmann Climate Solutions SE;Vitovolt 300 M435 KC;435;21,70;n.a.;Categoria A;155,00
Meyer Burger;White 395;395;21,50;1722x1134x30;Categoria C;169,00
BISOL;BBO-520;520;21,90;n.a.;Categoria A;149,00
Sunerg Solar srl;XMHCTQ580BFDG+H;580;22,45;n.a.;Categoria A;162,00
BISOL;BBO-530;530;22,30;n.a.;Categoria A;152,00
BISOL;BDO-425;425;21,80;n.a.;Categoria A;132,00
SoliTek;Solid Framed B.120 - 505W;505;22,31;n.a.;Categoria A;165,00
BISOL;BBO-525;525;22,10;n.a.;Categoria A;151,00
BISOL;BDO-440;440;22,50;n.a.;Categoria A;136,00
OMNIA Solar;G430M10E-54HBW;430;21,78;1722x1134x30;Categoria A;112,00
BISOL;BBO-540;540;22,70;n.a.;Categoria A;155,00
WARIS ENERGY SRL;WRS-EU-440-27 MHD BF;440;22,57;n.a.;Categoria A;n.a.
WARIS ENERGY SRL;WRS-EU-440-27 MH BF;440;22,57;n.a.;Categoria A;n.a.
Soluxtec;DMMXSCNi BW;440;22,57;n.a.;Categoria A;n.a.
Soluxtec;DMMXSCNiXXXBB;430;22,04;n.a.;Categoria A;n.a.
OMNIA Solar;G475M10E-60HBW;475;21,74;n.a.;Categoria A;122,00
Viessmann Climate Solutions SE;Vitovolt 300 M440 KC;440;22,00;n.a.;Categoria A;158,00
SOLAR CALL;SCM10-505;505;21,54;n.a.;Categoria A;n.a.
WARIS ENERGY SRL;WRS-EU-430-27 MHD BF;430;22,04;n.a.;Categoria A;n.a.
Solvis;SV120 E F GG22 HCM10;480;22,17;n.a.;Categoria A;n.a.
Solvis;SV120 E F HCM10;480;22,17;n.a.;Categoria A;n.a.
Solvis;SV144 E GG22 HCM10;580;22,45;n.a.;Categoria A;n.a.
Solvis;SV144 E HCM10;580;22,45;n.a.;Categoria A;n.a.
BISOL;BDO-450;450;22,50;n.a.;Categoria A;139,00
BISOL;BBO-510;510;22,80;n.a.;Categoria A;148,00
BISOL;BDO-450 (Bifacial);450;22,50;n.a.;Categoria A;149,00
BISOL;BBO-510 (Bifacial);510;22,80;n.a.;Categoria A;158,00
Soluxtec;DMMXSCNi430PG;430;22,04;n.a.;Categoria A;n.a.
Meyer Burger;Glass 380 (Bifacial);380;21,20;1722x1134x30;Categoria C;175,00
Meyer Burger;Black 385;385;20,90;1722x1134x30;Categoria C;165,00
Sonnenkraft;KPV 435Wp HCB;435;21,77;n.a.;Categoria A;132,00
