Marca;Modello;Potenza (Wp);Efficienza (%);Tecnologia;Prezzo;Superficie;Sup+30%;;
SunPower;SPR?MAX7?445?PT;445;24,1;Monocristallino;250;1,85;2,41;;
SunPower;SPR?MAX3?430?PT;430;22,7;Monocristallino;275;1,9;2,47;;
REC;Pure?R Series?430Wp;430;22,3;Bifacial HJT;260;1,93;2,51;;
LONGi;LR7?72HGD?620M;620;23;Bifacial HPDC;225;2,7;3,51;;
Jinko;JKM625?650N?78HL4?BDV;650;23,25;N-TYPE TOPCon;230;2,8;3,64;;
Trina;TSM-NEG9R.25?455Wp;455;22,8;N-TYPE TOPCon;230;2;2,6;;
Q.CELLS;Q.PEAK_DUO_M?G11S?420Wp;420;21,5;Monocristallino;96;1,95;2,54;;
Viessmann;Vitovolt300M410WE;410;20,66;Monocristallino;100;1,95;2,54;;
3SUN;B60?3SHBGH?AD?595Wp;595;23,4;N-TYPE HJT;110;2,83;3,68;;
CanadianSolar;TOPHiKu6_CS6.1?54TD?470Wp;470;23;N-TYPE TOPCon;110;2,04;2,65;;
