Marca;Modello;Potenza (Wp);Efficienza (%);Dimensioni (mm);Tecnologia
Sonnenkraft;KPV 430Wp HCB;430;21.52;;Categoria A
FuturaSun;FUxxxMV Silk Nova EU;430;22.02;;Categoria A
Fly Solartech Solutions;FLY-108-M10T-xG;430;22.02;;Categoria A
PEIMAR;SA505M;505;21.54;;Categoria A
SOLYCO;R-TG 108n.3 EU30;425;21.80;;Categoria A
SoliTek;BlackStar B.108 - 420W;420;21.51;;Categoria A
TRIENERGIA;COE-430M10EF;430;22.02;;Categoria A
BISOL;BDO-430;430;22.00;;Categoria A
DAX Solar;DAX 108 P10;420;21.51;;Categoria A
Sunerg Solar srl;XMHCTO430BW+H;430;22.02;;Categoria A
3SUN;3SHBGH-C#;625;22.10;;Categoria A
GruppoSTG;VE654PV;430;22.02;;Categoria A
Solvis;SV108-430 E F HCM10;430;22.02;;Categoria A
Solvis;SV108-430 E F GG22 HCM10;430;22.02;;Categoria A
Sunerg Solar srl;XMHCTP480BW+H;480;22.18;;Categoria A
Sunerg Solar srl;XMHCTQ580+H;580;22.45;;Categoria A
Sonnenkraft;KPV 435Wp HC;435;22.00;;Categoria A
Sonnenkraft;KPV 440Wp HC;440;22.27;;Categoria A
TRIENERGIA;COE-425M10EF;425;21.76;;Categoria A
SoliTek;BlackStar B.108 - 435W;435;22.27;;Categoria A
3SUN;3SHBGH-C#;620;21.90;;Categoria A
3SUN;3SHBGH-C#;615;21.70;;Categoria A
3SUN;3SHBGH-C#;610;21.60;;Categoria A
3SUN;3SHBGH-C#;630;22.30;;Categoria A
EURENER;ESM430-54HM10;430;22.01;;Categoria A
aleo;Leo-N L64S430;430;21.50;;Categoria A
DAX Solar;DAX 108 TC10;440;22.53;;Categoria A
Viessmann Climate Solutions SE;Vitovolt 300 M435 KC;435;21.70;;Categoria A
Meyer Burger;White 395;395;21.50;24,60;Categoria C
BISOL;BBO-520;520;21.90;;Categoria A
Sunerg Solar srl;XMHCTQ580BFDG+H;580;22.45;;Categoria A
BISOL;BBO-530;530;22.30;;Categoria A
BISOL;BDO-425;425;21.80;;Categoria A
SoliTek;Solid Framed B.120 - 505W;505;22.31;;Categoria A
BISOL;BBO-525;525;22.10;;Categoria A
BISOL;BDO-440;440;22.50;;Categoria A
OMNIA Solar;G430M10E-54HBW;430;21.78;;Categoria A
BISOL;BBO-540;540;22.70;;Categoria A
WARIS ENERGY SRL;WRS-EU-440-27 MHD BF;440;22.57;;Categoria A
WARIS ENERGY SRL;WRS-EU-440-27 MH BF;440;22.57;;Categoria A
Soluxtec;DMMXSCNi BW;440;22.57;;Categoria A
Soluxtec;DMMXSCNiXXXBB;430;22.04;;Categoria A
OMNIA Solar;G475M10E-60HBW;475;21.74;;Categoria A
Viessmann Climate Solutions SE;Vitovolt 300 M440 KC;440;22.00;;Categoria A
SOLAR CALL;SCM10-505;505;21.54;;Categoria A
WARIS ENERGY SRL;WRS-EU-430-27 MHD BF;430;22.04;;Categoria A
Solvis;SV120 E F GG22 HCM10;480;22.17;;Categoria A
Solvis;SV120 E F HCM10;480;22.17;;Categoria A
Solvis;SV144 E GG22 HCM10;580;22.45;;Categoria A
Solvis;SV144 E HCM10;580;22.45;;Categoria A
BISOL;BDO-450;450;22.50;;Categoria A
BISOL;BBO-510;510;22.80;;Categoria A
BISOL;BDO-450 (Bifacial);450;22.50;;Categoria A
BISOL;BBO-510 (Bifacial);510;22.80;;Categoria A
Soluxtec;DMMXSCNi430PG;430;22.04;;Categoria A
Meyer Burger;Glass 380 (Bifacial);380;21.20;24,58;Categoria C
Meyer Burger;Black 385;385;20.90;24,43;Categoria C
Sonnenkraft;KPV 435Wp HCB;435;21.77;;Categoria A
Meyer Burger;White 390;390;21.20;24,35;Categoria C
Meyer Burger;Glass 385 L(Bifacial);385;20.90;24,66;Categoria C
Meyer Burger;Black 380;380;20.70;24,23;Categoria C
DAX Solar;DAX 120 TC10;490;22.65;;Categoria A
DAX Solar;DAX 132 TC10;540;22.74;;Categoria A
DAX Solar;DAX 144 TC10;590;22.84;;Categoria A
DAX Solar;DAX 156 TC10;635;22.72;;Categoria A
NWG;NWG MOD 505 P;505;21.54;;Categoria A
Meyer Burger;Black 390;390;21.20;24,65;Categoria C
EURENER;ESM570-72HM10;570;22.03;;Categoria A
Sunerg Solar srl;XMHC460BFDGKL+H;460;23.02;;Categoria A
Sunerg Solar srl;XMHCTP500BFDG+H;500;23.11;;Categoria A
Sunerg Solar srl;XMHCTQ590BFDG+H;590;22.83;;Categoria A
Sunerg Solar srl;XMHCTQ600BFDG+H;600;23.22;;Categoria A
Torri Solare;TRS 440-54M-H8N;440;22.50;;Categoria A
PEIMAR;SA460M;460;21.53;;Categoria A
OMNIA Solar;G430T10BE-54HBW;430;22.02;;Categoria A
Waris Energy srl;WRS-EU-450-27 MH BF;450;23.09;;Categoria A
OMNIA Solar;G580T10BE-72HSW;580;22.45;;Categoria A
OMNIA Solar;G480T10BE-60HBW;480;22.17;;Categoria A
Soluxtec;DMMXSCNi BB;440;22.55;;Categoria A
ALPS SOLAR;ALPS72D30-600TP;600;23.30;;Categoria A
Sunerg Solar srl;XMHCTQ580BW+H;580;22.45;;Categoria A
Torri Solare;TRS 485-60M-H8N;485;22.50;;Categoria A
Soluxtec;DMMXSCNi BW;450;23.09;;Categoria A
EURENER;ESM580-72HM10;580;22.47;;Categoria A
